A,B,C,D,E,F,G
1614,0.001509307,0.004975124,24149,0.002749719,-0.001060978,-0.000366869
1615,5.68E-05,0.003632236,28718,-0.008203125,-0.004416122,-0.000654951
1616,-0.004512635,0.011281588,41754,-0.007434733,0.004256527,-0.000666598
1617,-0.005018821,0.008041519,38399,0.006179138,-0.011281588,-0.000562588
1618,0.001037584,0.006052571,23701,-0.009633028,-0.011862667,-0.00070061
1619,-0.006518756,0.00994968,29901,-0.003629032,0.007378372,-0.000974593
1620,-0.008072887,0.009860454,37225,-0.005868815,-0.00857731,-0.000637019
1621,0.003713805,0.007949864,27028,0.004883721,-0.005939338,-0.000803467
1622,-0.004593825,0.007326859,35425,-0.005260116,-0.001856902,-0.001211301
1623,0.000750621,0.006697846,30909,0.007184579,0.006745363,-0.000834314
1624,0.002537632,0.00951612,37767,0.003921569,0.001385761,-9.00E-05
1625,-0.000967173,0.005063435,23524,0.006846951,0.013207221,-0.000329697
1626,0.004652499,0.008156232,30909,0.002961276,-0.009728623,0.000541684
1627,-0.001152804,0.008069629,37388,-0.010914286,-0.004078116,0.000390113
1628,0.002954124,0.007645968,26448,0.006004619,-0.003054931,0.000301264
1629,-0.000857584,0.006231776,24993,0.005773672,0.013727989,-9.07E-05
1630,-0.002429993,0.005149271,27374,-0.005663616,-0.012177691,0.000402942
1631,-0.004495418,0.006397326,28290,0.009512761,0.002603564,-0.000612455
1632,0.004864489,0.006254343,27889,-0.007118056,-0.004725952,-0.000119167
1633,-0.001545418,0.006868525,28541,0.007200461,0.010481816,-0.000145081
1634,0.006549466,0.009307135,24065,0.004931193,-0.0034915,0.000396389
1635,0.004442695,0.006692161,25802,0.010901826,0.021544295,-0.000292391
1636,0.00167654,0.005420811,20548,0.00324748,0.006579687,0.001056489
1637,-0.000111259,0.002948376,18480,-0.002511161,0.004191349,0.001215534
1638,-0.001050246,0.003537671,17593,0.003615128,0.003560303,0.001572226
1639,-0.002487837,0.006468377,28895,0.001548673,0.001327948,0.001295365
1640,-0.001659109,0.003484128,17425,0.003769401,-0.000110571,0.001488143
1641,-0.003642183,0.006898074,31448,-0.005266075,0.00259927,0.000621949
1642,0.002105963,0.004599867,18415,-0.008028793,-0.00469069,0.000462732
1643,0.001270859,0.005525472,22112,-0.00199115,0.003214365,0.00010745
1644,0.002770083,0.004598338,14548,-0.002869757,-0.002265444,9.36E-05
1645,-0.005090466,0.005809771,2507,-0.004640884,0.001440443,-5.01E-05
1646,-0.008105257,0.008771443,21046,0.003448276,-0.001496259,1.19E-05
